"Country or Area","Year","Value","Value Footnotes"
"Bangladesh","2014","",""
"Bangladesh","2012","",""
"Bangladesh","2010","98.4254",""
"Bangladesh","2009","99.47924",""
"Bangladesh","2008","95.29395",""
"Bangladesh","2007","",""
"Bangladesh","2006","99.63241",""
"Bangladesh","2005","98.20926",""
"Bangladesh","2004","",""
"Bangladesh","2002","",""
"Bangladesh","2001","",""
"Bangladesh","2000","",""
"Bangladesh","1998","",""
"Bangladesh","1997","",""
"Bangladesh","1996","",""
"Bangladesh","1995","",""
"Bangladesh","1994","",""
"Bangladesh","1993","",""
"Bangladesh","1992","",""
"Bangladesh","1991","",""
"Bangladesh","1990","66.29983",""

